# LST, Quality Flags, Datetime
# 2009
1361,10014,200906032345
1287,10014,200906040000
1385,10014,200906040015
1347,10014,200906040030
1376,10014,200906040045
1343,10014,200906040100
1362,10014,200906040115
1362,10014,200906040130
1285,10014,200906040145
1331,10014,200906040200
1316,10014,200906040215
1302,10014,200906040230
1257,10014,200906040245
1180,10014,200906040300
1180,10014,200906040315
1257,10014,200906040330
1316,10014,200906040345
1296,10014,200906040400
1500,10014,200906040415
1586,10014,200906040430
-8000,60,200906040445
-8000,60,200906040500
-8000,60,200906040515
-8000,60,200906040530
1931,10014,200906040545
2064,10014,200906040600
2084,10014,200906040615
2179,10014,200906040630
2218,10014,200906040645
-8000,60,200906040700
-8000,60,200906040715
-8000,60,200906040730
-8000,44,200906040745
-8000,60,200906040800
2384,10014,200906040815
2524,10014,200906040830
2478,10014,200906040845
2443,10014,200906040900
2254,10014,200906040915
2427,10014,200906040930
-8000,44,200906040945
-8000,44,200906041000
-8000,12,200906041015
-8000,44,200906041030
-8000,44,200906041045
2274,10014,200906041100
2730,10014,200906041115
-8000,44,200906041130
2901,10014,200906041145
3195,10014,200906041200
3175,10014,200906041215
3183,10014,200906041230
3205,10014,200906041245
3283,10014,200906041300
3309,10014,200906041315
3085,10014,200906041330
3119,10014,200906041345
3063,10014,200906041400
3018,10014,200906041415
2975,10014,200906041430
2909,10014,200906041445
2885,10014,200906041500
2796,10014,200906041515
2706,10014,200906041530
2640,10014,200906041545
2583,10014,200906041600
2535,10014,200906041615
2398,10014,200906041630
2317,10014,200906041645
2269,10014,200906041700
2199,10014,200906041715
2058,10014,200906041730
2091,10014,200906041745
1911,10014,200906041800
1876,10014,200906041815
1837,10014,200906041830
1727,10014,200906041845
1716,10014,200906041900
1677,10014,200906041915
1663,10014,200906041930
1582,10014,200906041945
1723,10014,200906042000
1761,10014,200906042015
1651,10014,200906042030
1566,10014,200906042045
1602,10014,200906042100
1602,10014,200906042115
1587,10014,200906042130
1587,10014,200906042145
1552,10014,200906042200
1538,10014,200906042215
1468,10014,200906042230
1552,10014,200906042245
1552,10014,200906042300
-8000,12,200906042315
1492,10014,200906042330
1407,10014,200906042345
-8000,60,200906050000
1425,10014,200906050015
1371,10014,200906050030
1437,10014,200906050045
1416,10014,200906050100
1362,10014,200906050115
1350,10014,200906050130
1374,10014,200906050145
1349,10014,200906050200
1273,10014,200906050215
-8000,44,200906050230
-8000,60,200906050245
-8000,44,200906050300
-8000,60,200906050315
-8000,60,200906050330
1534,10014,200906050345
1475,10014,200906050400
1411,10014,200906050415
-8000,60,200906050430
-8000,44,200906050445
1534,10014,200906050500
-8000,44,200906050515
-8000,60,200906050530
-8000,44,200906050545
-8000,60,200906050600
-8000,60,200906050615
-8000,60,200906050630
-8000,60,200906050645
-8000,60,200906050700
-8000,60,200906050715
-8000,60,200906050730
-8000,60,200906050745
-8000,60,200906050800
-8000,60,200906050815
-8000,44,200906050830
-8000,44,200906050845
-8000,44,200906050900
-8000,44,200906050915
-8000,44,200906050930
-8000,44,200906050945
-8000,44,200906051000
-8000,44,200906051015
-8000,44,200906051030
-8000,44,200906051045
-8000,44,200906051100
-8000,44,200906051115
-8000,44,200906051130
-8000,44,200906051145
2997,10014,200906051200
3190,10014,200906051215
-8000,44,200906051230
3190,10014,200906051245
-8000,44,200906051300
3244,10014,200906051315
3007,10014,200906051330
3164,10014,200906051345
3100,10014,200906051400
2880,10014,200906051415
-8000,44,200906051430
-8000,44,200906051445
-8000,44,200906051500
-8000,44,200906051515
-8000,44,200906051530
2443,10014,200906051545
2513,10014,200906051600
2385,10014,200906051615
2399,10014,200906051630
2234,10014,200906051645
2188,10014,200906051700
2054,10014,200906051715
-8000,44,200906051730
-8000,44,200906051745
1732,10014,200906051800
1864,10014,200906051815
1845,10014,200906051830
-8000,60,200906051845
-8000,44,200906051900
-8000,60,200906051915
1665,10014,200906051930
1570,10014,200906051945
1556,10014,200906052000
1604,10014,200906052015
1545,10014,200906052030
1664,10014,200906052045
1611,10014,200906052100
1626,10014,200906052115
1520,10014,200906052130
1626,10014,200906052145
1569,10014,200906052200
1505,10014,200906052215
1505,10014,200906052230
1459,10014,200906052245
1504,10014,200906052300
1515,10014,200906052315
-8000,44,200906052330
-8000,44,200906052345
1495,10014,200906060000
1462,10014,200906060015
-8000,60,200906060030
-8000,44,200906060045
1370,10014,200906060100
-8000,60,200906060115
-8000,44,200906060130
-8000,44,200906060145
1091,10014,200906060200
1521,10014,200906060215
1497,10014,200906060230
1497,10014,200906060245
-8000,60,200906060300
-8000,60,200906060315
-8000,60,200906060330
-8000,60,200906060345
-8000,44,200906060400
-8000,60,200906060415
-8000,44,200906060430
-8000,44,200906060445
-8000,60,200906060500
-8000,44,200906060515
1822,10014,200906060530
-8000,44,200906060545
-8000,60,200906060600
2315,10014,200906060615
2348,10014,200906060630
-8000,60,200906060645
-8000,44,200906060700
-8000,44,200906060715
-8000,44,200906060730
2790,10014,200906060745
3037,10014,200906060800
3002,10014,200906060815
3189,10014,200906060830
3160,10014,200906060845
-8000,44,200906060900
-8000,44,200906060915
-8000,44,200906060930
-8000,60,200906060945
-8000,60,200906061000
-8000,60,200906061015
-8000,44,200906061030
-8000,60,200906061045
-8000,44,200906061100
-8000,60,200906061115
-8000,60,200906061130
-8000,60,200906061145
-8000,60,200906061200
-8000,44,200906061215
-8000,44,200906061230
-8000,44,200906061245
-8000,44,200906061300
-8000,44,200906061315
-8000,44,200906061330
-8000,44,200906061345
2877,10014,200906061400
-8000,60,200906061415
-8000,44,200906061430
2660,10014,200906061445
3044,10014,200906061500
2939,10014,200906061515
2716,10014,200906061530
-8000,60,200906061545
-8000,44,200906061600
2408,10014,200906061615
-8000,44,200906061630
-8000,44,200906061645
-8000,60,200906061700
-8000,60,200906061715
-8000,44,200906061730
2029,10014,200906061745
-8000,60,200906061800
-8000,44,200906061815
-8000,60,200906061830
1834,10014,200906061845
1758,10014,200906061900
1396,10014,200906061915
-8000,60,200906061930
1648,10014,200906061945
1633,10014,200906062000
1587,10014,200906062015
1489,10014,200906062030
1609,10014,200906062045
1644,10014,200906062100
1524,10014,200906062115
1630,10014,200906062130
1555,10014,200906062145
1630,10014,200906062200
1554,10014,200906062215
1530,10014,200906062230
1665,10014,200906062245
1665,10014,200906062300
1513,10014,200906062315
1555,10014,200906062330
1530,10014,200906062345
1545,10014,200906070000
1555,10014,200906070015
1509,10014,200906070030
1509,10014,200906070045
1474,10014,200906070100
1446,10014,200906070115
1459,10014,200906070130
1444,10014,200906070145
1430,10014,200906070200
1538,10014,200906070215
1366,10014,200906070230
1439,10014,200906070245
1583,10014,200906070300
1449,10014,200906070315
1449,10014,200906070330
1399,10014,200906070345
1475,10014,200906070400
1683,10014,200906070415
1723,10014,200906070430
1844,10014,200906070445
1880,10014,200906070500
2015,10014,200906070515
-8000,44,200906070530
2170,10014,200906070545
2312,10014,200906070600
2453,10014,200906070615
2524,10014,200906070630
-8000,44,200906070645
-8000,44,200906070700
-8000,44,200906070715
-8000,60,200906070730
-8000,60,200906070745
-8000,44,200906070800
3134,10014,200906070815
3330,10014,200906070830
3430,10014,200906070845
-8000,44,200906070900
-8000,60,200906070915
-8000,60,200906070930
-8000,44,200906070945
-8000,60,200906071000
-8000,60,200906071015
-8000,60,200906071030
-8000,60,200906071045
-8000,60,200906071100
-8000,60,200906071115
-8000,60,200906071130
-8000,60,200906071145
-8000,60,200906071200
-8000,60,200906071215
-8000,60,200906071230
-8000,44,200906071245
-8000,44,200906071300
-8000,44,200906071315
-8000,44,200906071330
-8000,44,200906071345
-8000,60,200906071400
-8000,60,200906071415
-8000,12,200906071430
-8000,60,200906071445
-8000,60,200906071500
-8000,44,200906071515
2676,10014,200906071530
-8000,44,200906071545
-8000,44,200906071600
-8000,44,200906071615
-8000,44,200906071630
-8000,60,200906071645
-8000,60,200906071700
-8000,44,200906071715
-8000,44,200906071730
-8000,44,200906071745
-8000,44,200906071800
1715,10014,200906071815
-8000,44,200906071830
-8000,60,200906071845
-8000,60,200906071900
1823,10014,200906071915
1747,10014,200906071930
1778,10014,200906071945
1722,10014,200906072000
1645,10014,200906072015
1676,10014,200906072030
1606,10014,200906072045
1533,10014,200906072100
1487,10014,200906072115
1456,10014,200906072130
1535,10014,200906072145
1504,10014,200906072200
1504,10014,200906072215
1462,10014,200906072230
1504,10014,200906072245
1431,10014,200906072300
1442,10014,200906072315
1442,10014,200906072330
1456,10014,200906072345
-8000,60,200906080000
-8000,60,200906080015
-8000,60,200906080030
-8000,60,200906080045
1567,10014,200906080100
1598,10014,200906080115
1536,10014,200906080130
1128,10014,200906080145
1281,10014,200906080200
1334,10014,200906080215
-8000,60,200906080230
1034,10014,200906080245
1128,10014,200906080300
-8000,60,200906080315
1452,10014,200906080330
1497,10014,200906080345
1511,10014,200906080400
1536,10014,200906080415
1607,10014,200906080430
1748,10014,200906080445
1844,10014,200906080500
1967,10014,200906080515
1999,10014,200906080530
2108,10014,200906080545
2227,10014,200906080600
2269,10014,200906080615
2472,10014,200906080630
2584,10014,200906080645
2665,10014,200906080700
2805,10014,200906080715
2840,10014,200906080730
3010,10014,200906080745
3084,10014,200906080800
3180,10014,200906080815
3338,10014,200906080830
3375,10014,200906080845
3388,10014,200906080900
3513,10014,200906080915
3534,10014,200906080930
3564,10014,200906080945
3624,10014,200906081000
3540,10014,200906081015
3554,10014,200906081030
3496,10014,200906081045
3507,10014,200906081100
3470,10014,200906081115
3425,10014,200906081130
3274,10014,200906081145
3601,10014,200906081200
3434,10014,200906081215
3626,10014,200906081230
3296,10014,200906081245
3524,10014,200906081300
3518,10014,200906081315
3421,10014,200906081330
3431,10014,200906081345
3344,10014,200906081400
3340,10014,200906081415
3229,10014,200906081430
3147,10014,200906081445
3151,10014,200906081500
3021,10014,200906081515
2978,10014,200906081530
2843,10014,200906081545
2854,10014,200906081600
2781,10014,200906081615
2653,10014,200906081630
2538,10014,200906081645
2519,10014,200906081700
2419,10014,200906081715
2239,10014,200906081730
2311,10014,200906081745
2063,10014,200906081800
2014,10014,200906081815
1891,10014,200906081830
1895,10014,200906081845
1838,10014,200906081900
1827,10014,200906081915
1785,10014,200906081930
1740,10014,200906081945
1831,10014,200906082000
1727,10014,200906082015
1744,10014,200906082030
1691,10014,200906082045
1691,10014,200906082100
1819,10014,200906082115
1783,10014,200906082130
1735,10014,200906082145
-9999,-9999,200906082200
-9999,-9999,200906082215
