# Annual mean Land-Ocean Temperature Index in degrees Celsius
#  selected zonal means
# Year  Glob   NHem   SHem  24S
#                          -24N
1995.00,0.45,0.58,0.32,0.43
1996.00,0.33,0.27,0.39,0.32
1997.00,0.47,0.52,0.42,0.52
1998.00,0.61,0.71,0.52,0.70
1999.00,0.39,0.49,0.29,0.21
2000.00,0.40,0.50,0.29,0.25
2001.00,0.54,0.64,0.44,0.43
2002.00,0.63,0.72,0.54,0.60
2003.00,0.63,0.75,0.50,0.65
2004.00,0.54,0.66,0.43,0.56
2005.00,0.68,0.86,0.51,0.63
2006.00,0.64,0.82,0.47,0.56
2007.00,0.67,0.86,0.47,0.47
2008.00,0.55,0.69,0.41,0.38
2009.00,0.66,0.73,0.59,0.69
2010.00,0.73,0.91,0.55,0.69
2011.00,0.61,0.75,0.47,0.38
2012.00,0.65,0.82,0.48,0.53
2013.00,0.69,0.81,0.57,0.59
2014.00,0.75,0.92,0.58,0.68
2015.00,0.90,1.18,0.64,0.96
2016.00,1.02,1.31,0.73,1.02
2017.00,0.93,1.18,0.68,0.82
2018.00,0.85,1.04,0.67,0.68
