time,observed_ozone_NIWA(DU),modeled_ozone(DU),tsi_impact(DU),halogen_impact(DU),aerosol_impact(DU),QBO_30mb_impact(DU),residual(DU)
Output created in ~tcanty/TOTAL_OZONE on Tue Nov  1 09:37:11 2016
 1984.958    1.240   2.013  -2.367 -16.599  -0.537   0.537  -0.773
 1985.042   -0.850   0.614  -2.945 -16.645  -0.610  -0.166  -1.464
 1985.125   -0.880   0.644  -2.560 -16.690  -0.548  -0.537  -1.524
 1985.208   -2.890   0.260  -2.752 -16.741  -0.536  -0.690  -3.150
 1985.292   -2.310  -0.696  -3.329 -16.787  -0.408  -1.151  -1.614
 1985.375   -1.160  -0.674  -2.829 -16.838  -0.413  -1.573  -0.486
 1985.458   -1.880  -0.892  -2.598 -16.884  -0.471  -1.918  -0.988
 1985.542   -3.250  -1.088  -2.791 -16.929  -0.494  -1.854  -2.162
 1985.625   -3.450  -0.689  -2.406 -16.975  -0.433  -1.854  -2.761
 1985.708   -3.470  -0.916  -2.713 -17.026  -0.366  -1.790  -2.554
 1985.792   -2.960  -1.399  -3.252 -17.072  -0.340  -1.713  -1.561
 1985.875   -2.380  -0.907  -2.868 -17.123  -0.285  -1.611  -1.473
 1985.958   -1.360  -0.440  -2.675 -17.169  -0.233  -1.343  -0.920
 1986.042    0.450  -0.364  -2.713 -17.215  -0.303  -1.112   0.814
 1986.125    3.920  -0.898  -3.175 -17.261  -0.277  -1.164   4.818
 1986.208    1.010  -0.543  -2.675 -17.314  -0.255  -1.279   1.553
 1986.292   -0.310  -0.361  -2.791 -17.360  -0.244  -0.946   0.051
 1986.375   -0.360   0.243  -2.483 -17.413  -0.304  -0.537  -0.603
 1986.458   -0.280   0.179  -2.752 -17.460  -0.345  -0.243  -0.459
 1986.542   -0.950   0.180  -2.791 -17.507  -0.348  -0.153  -1.130
 1986.625   -0.250   0.424  -2.983 -17.555  -0.325   0.307  -0.674
 1986.708    0.430   0.543  -2.983 -17.608  -0.330   0.486  -0.113
 1986.792    1.740   0.680  -2.791 -17.656  -0.377   0.524   1.060
 1986.875   -0.380   0.816  -2.560 -17.711  -0.328   0.435  -1.196
 1986.958   -0.060   0.926  -2.713 -17.759  -0.374   0.793  -0.986
 1987.042   -1.250   0.832  -2.713 -17.808  -0.457   0.831  -2.082
 1987.125   -2.880   0.928  -2.752 -17.856  -0.517   1.074  -3.808
 1987.208    1.910   1.286  -2.713 -17.911  -0.526   1.458   0.624
 1987.292    3.390   1.371  -2.829 -17.960  -0.507   1.688   2.019
 1987.375    2.740   1.983  -2.367 -18.016  -0.532   1.918   0.757
 1987.458    2.220   2.070  -2.098 -18.065  -0.511   1.765   0.150
 1987.542    1.550   1.005  -2.136 -18.115  -0.478   0.754   0.545
 1987.625    1.250  -0.556  -2.252 -18.165  -0.480  -0.639   1.806
 1987.708    1.230  -0.892  -1.982 -18.221  -0.479  -1.189   2.122
 1987.792    2.240  -1.208  -2.021 -18.271  -0.438  -1.458   3.448
 1987.875    1.920  -0.636  -1.520 -18.327  -0.399  -1.368   2.556
 1987.958   -4.360  -0.247  -1.289 -18.378  -0.370  -1.189  -4.113
 1988.042   -2.750  -0.018  -1.251 -18.428  -0.308  -1.010  -2.732
 1988.125   -0.780   0.400  -1.020 -18.479  -0.339  -0.742  -1.180
 1988.208   -1.490  -0.017  -1.636 -18.536  -0.185  -0.639  -1.473
 1988.292   -1.910   0.425  -1.212 -18.587  -0.077  -0.678  -2.335
 1988.375    0.840   1.150  -0.288 -18.644  -0.168  -0.729  -0.310
 1988.458    1.020   0.169  -1.405 -18.695  -0.199  -0.511   0.851
 1988.542    0.650  -0.331  -2.098 -18.746  -0.172  -0.294   0.981
 1988.625    1.450   0.734  -0.866 -18.798  -0.159  -0.422   0.716
 1988.708    2.330   1.961   0.327 -18.855  -0.157  -0.332   0.369
 1988.792    2.340   0.588  -1.020 -18.907  -0.144  -0.320   1.752
 1988.875    0.120   1.297  -0.288 -18.965  -0.110  -0.320  -1.177
 1988.958    3.440   1.374  -0.443 -19.016  -0.095  -0.051   2.066
 1989.042    5.150   2.551   0.635 -19.068  -0.098   0.102   2.599
 1989.125    3.920   2.862   0.866 -19.120  -0.132   0.269   1.058
 1989.208    3.310   1.830   0.019 -19.178  -0.131   0.141   1.480
 1989.292    5.890   2.660   0.827 -19.230  -0.121   0.205   3.230
 1989.375    6.240   3.534   1.559 -19.289  -0.112   0.396   2.706
 1989.458    5.620   1.859  -0.173 -19.341  -0.118   0.511   3.761
 1989.542    5.450   4.877   2.675 -19.393  -0.126   0.742   0.573
 1989.625    5.750   3.002   0.520 -19.445  -0.126   1.074   2.748
 1989.708    6.930   2.298  -0.443 -19.504  -0.129   1.394   4.632
 1989.792    5.640   5.280   2.252 -19.556  -0.134   1.739   0.360
